lib_name,lib_address,latitude,longitude,lib_name_survey,lib_address_survey,broadband,wifi,down_open,upload_open,down_midday,upload_midday,down_close,upload_close,avg_down_speed,avg_up_speed
Gail Borden Public Library District,"270 North Grove Avenue Elgin, IL 60120-5505",42.0424469,-88.2879985,Gail Borden Public Library,"270 North Grove Avenue, Elgin, IL 60120",Yes,Yes,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0
Rakow Branch Library,"2751 West Bowes Road Elgin, IL 60124-8403",42.0062369,-88.3458222,,,,,,,,,,,,
South Elgin Branch,"127 South McLean Boulevard South Elgin, IL 60177-1822",41.9946758,-88.3150488,,,,,,,,,,,,
Galatia Public Library District,"217 South Main Cross Street Galatia, IL 62935-0279",37.8391489,-88.61218389999999,Galatia Public Library District,"217 S. Main Cross St., Galatia IL  62939",Yes,Yes,26.0,4.0,24.0,3.0,23.0,3.0,24.333333333333332,3.3333333333333335
Galena Public Library District,"601 South Bench Street Galena, IL 61036-2322",42.4120403,-90.4318518,,,,,,,,,,,,
Galesburg Public Library,"40 East Simmons Street Galesburg, IL 61401-4515",40.9460253,-90.3704954,,,,,,,,,,,,
Galva Public Library District,"120 Northwest Third Avenue Galva, IL 61434-1326",41.1678347,-90.04625469999999,,,,,,,,,,,,
Geneseo Public Library District,"805 North Chicago Street Geneseo, IL 61254",41.4631313,-90.1447451,,,,,,,,,,,,
Geneva Public Library District,"227 S. Seventh Street Geneva, IL 60134-2241",41.8860167,-88.31303489999999,,,,,,,,,,,,
Genoa Public Library District,"240 West Main Street Genoa, IL 60135-1146",42.0973697,-88.6945978,,,,,,,,,,,,
Georgetown Public Library,"102 West West Street Georgetown, IL 61846-1856",39.9751461,-87.6363365,,,,,,,,,,,,
Germantown Public Library District,"403 Munster Street Germantown, IL 62245-0244",38.5540477,-89.5388718,,,,,,,,,,,,
Gillespie Public Library,"201 West Chestnut Street Gillespie, IL 62033-1506",39.1260737,-89.81755609999999,Gillespie Public Library,201 W Chestnut Gillespie,No,Yes,26.0,3.0,26.0,3.0,26.0,3.0,26.0,3.0
Gilman-Danforth District Library,"715 North Maple Street Gilman, IL 60938-1747",40.7755425,-87.9868369,,,,,,,,,,,,
Girard Township Library,"201 West Madison Street Girard, IL 62640-1551",39.4451031,-89.77945419999999,,,,,,,,,,,,
Glen Carbon Centennial Library District,"198 South Main Street Glen Carbon, IL 62034-1419",38.7486856,-89.98388419999999,,,,,,,,,,,,
Glen Ellyn Public Library,"400 Duane Street Glen Ellyn, IL 60137-4508",41.8756595,-88.07060829999999,Glen Ellyn Public Library,"400 Duane St, Glen Ellyn, IL",Yes,Yes,200.0,200.0,180.0,180.0,200.0,200.0,193.33333333333334,193.33333333333334
Glencoe Public Library,"320 Park Avenue Glencoe, IL 60022-1597",42.1343278,-87.75830460000002,Glencoe Public Library,"320 Park Ave., Glencoe, IL 60022",Yes,Yes,320.0,270.0,320.0,280.0,320.0,320.0,320.0,290.0
